supplier_name,supplier_country,supplier_state,supplier_city,supplier_type,is_active,source_system,source_supplier_id
SLS FEDERAL SERVICES LLC,,,,Public Procurement Recipient,True,USAspending,SUP-e06ef067403b
"SMARTRONIX, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-f1c838bbb658
SMITHSONIAN INSTITUTION,,,,Public Procurement Recipient,True,USAspending,SUP-f325ef66fced
SOUTHWEST VALLEY CONSTRUCTORS CO,,,,Public Procurement Recipient,True,USAspending,SUP-a35510606816
SPACE EXPLORATION TECHNOLOGIES CORP.,,,,Public Procurement Recipient,True,USAspending,SUP-4314a79f1fda
SPENCER CONSTRUCTION LLC,,,,Public Procurement Recipient,True,USAspending,SUP-6fd8a328c554
"SVCMC, INC.",,,,Public Procurement Recipient,True,USAspending,SUP-fca5a1942e16
T-REX SOLUTIONS LLC,,,,Public Procurement Recipient,True,USAspending,SUP-da6d092c14b8
TEXTRON SYSTEMS CORP,,,,Public Procurement Recipient,True,USAspending,SUP-c5caf8f510da
TEXTRON SYSTEMS CORPORATION,,,,Public Procurement Recipient,True,USAspending,SUP-eb0793ac1f13
THALLE CONSTRUCTION CO INC,,,,Public Procurement Recipient,True,USAspending,SUP-a18825878691
THE AEROSPACE CORPORATION,,,,Public Procurement Recipient,True,USAspending,SUP-b639fbc33efd
THE BOEING COMPANY,,,,Public Procurement Recipient,True,USAspending,SUP-5c8f472899dc
THE JOHNS HOPKINS MEDICAL SERVICES CORPORATION,,,,Public Procurement Recipient,True,USAspending,SUP-8c3fa3fd25f8
THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC,,,,Public Procurement Recipient,True,USAspending,SUP-f1e5b6bc67a8
THE LELAND STANFORD JUNIOR UNIVERSITY,,,,Public Procurement Recipient,True,USAspending,SUP-8dc79153d72b
THE MITRE CORPORATION,,,,Public Procurement Recipient,True,USAspending,SUP-15164a1e721d
THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,,,,Public Procurement Recipient,True,USAspending,SUP-d0c81e21ae9e
THE TRUSTEES OF PRINCETON UNIVERSITY,,,,Public Procurement Recipient,True,USAspending,SUP-0c304a62f995
"TRIAD NATIONAL SECURITY, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-34d5321c22e6
TRIWEST HEALTHCARE ALLIANCE CORP,,,,Public Procurement Recipient,True,USAspending,SUP-ad6af7e09f0c
"UCHICAGO ARGONNE, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-732c14aa4179
UCOR LLC,,,,Public Procurement Recipient,True,USAspending,SUP-fde8562f39ea
UNITED CLEANUP OAK RIDGE LLC,,,,Public Procurement Recipient,True,USAspending,SUP-f74dd035686e
"UNITED LAUNCH SERVICES, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-01e2fc206909
"UNITEDHEALTH MILITARY & VETERANS SERVICES, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-d8312f242534
UT-BATTELLE LLC,,,,Public Procurement Recipient,True,USAspending,SUP-2fcf5a0d22cf
VECTRUS SYSTEMS LLC,,,,Public Procurement Recipient,True,USAspending,SUP-60a729f17204
VERTEX AEROSPACE LLC,,,,Public Procurement Recipient,True,USAspending,SUP-9127c686d45b
"VINNELL ARABIA, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-84e37244e9bd
WASHINGTON RIVER PROTECTION SOLUTIONS LLC,,,,Public Procurement Recipient,True,USAspending,SUP-bf62954b1829
WASHINGTON TRU SOLUTIONS LLC,,,,Public Procurement Recipient,True,USAspending,SUP-73faa2fa378f
XATOR LLC,,,,Public Procurement Recipient,True,USAspending,SUP-7fc10aff0f8e
